Keyphrase,Score_Charcot,Score_Autres,Score_Moyen,Renvoie_a,Dans_Reference,Sources_Charcot,Sources_Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' exaspération,0.776,0.75,0.763,,,CN_000064_006_texte.txt,CH_00000094_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
névropathes errants,0.754,0.772,0.763,,,CN_000054_026_texte.txt,CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
céphalalgie avec éblouissements,0.784,0.743,0.763,,,CN_000036_008_texte.txt,CY_000099_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
influence d' agents,0.794,0.733,0.763,,,CN_000029_001_texte.txt, CN_000038_010_texte.txt,CH_00000077_texte.txt, CH_00000078_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' infériorité,0.76,0.766,0.763,,,CN_000055_027_texte.txt, CN_000058_030_texte.txt, CN_000060_002_texte.txt, CN_000079_021_texte.txt, CN_000080_022_texte.txt,CS_000002_002_texte.txt, CS_000014_014_texte.txt, CS_000018_018_texte.txt, CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégénérescence secondaire descendante,0.777,0.749,0.763,,,CN_000037_009_texte.txt, CN_000044_016_texte.txt, CN_000060_002_texte.txt,CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
élimination exagérée,0.78,0.745,0.763,,,CN_000063_005_texte.txt,CS_000022_022_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dégéné- rescence,0.757,0.77,0.763,,,CN_000034_006_texte.txt, CN_000038_010_texte.txt, CN_000040_012_texte.txt, CN_000041_013_texte.txt, CN_000044_016_texte.txt, CN_000047_019_texte.txt, CN_000048_020_texte.txt, CN_000052_024_texte.txt, CN_000054_026_texte.txt, CN_000058_030_texte.txt, CN_000059_001_texte.txt, CN_000060_002_texte.txt, CN_000062_004_texte.txt, CN_000068_010_texte.txt, CN_000077_019_texte.txt, CN_000082_002_texte.txt,CO_000089_007_texte.txt, CS_000002_002_texte.txt, CS_000018_018_texte.txt, CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altération dégénérative,0.756,0.771,0.763,,,CN_000035_007_texte.txt, CN_000048_020_texte.txt, CN_000057_029_texte.txt, CN_000062_004_texte.txt,CO_000093_011_texte.txt, CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tentative d' hypnotisation,0.754,0.772,0.763,,,CN_000042_014_texte.txt, CN_000045_017_texte.txt,CH_00000080_texte.txt, CH_00000082_texte.txt, CO_000090_008_texte.txt, CS_000004_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinations du goût,0.754,0.772,0.763,,,CN_000058_030_texte.txt, CN_000074_016_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atrophie con- sidérable,0.754,0.772,0.763,,,CN_000053_025_texte.txt,CO_000089_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paroxysmes convulsifs,0.76,0.766,0.763,,,CN_000060_002_texte.txt,CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atrophie parenchymateuse,0.768,0.756,0.762,,,CN_000062_004_texte.txt,CO_000091_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paralvsies radiculaires,0.771,0.753,0.762,,,CN_000072_014_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
période d' accalmie,0.764,0.76,0.762,,,CN_000051_023_texte.txt, CN_000053_025_texte.txt, CN_000071_013_texte.txt, CN_000073_015_texte.txt,CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hérédité syphilitique,0.758,0.767,0.762,,,CN_000070_012_texte.txt, CN_000082_002_texte.txt,CS_000011_011_texte.txt, CS_000012_012_texte.txt, CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' hérédité,0.782,0.743,0.762,,,CN_000038_010_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
observations de m.,0.751,0.773,0.762,,,CN_000029_001_texte.txt,CS_000005_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divergences d' opinion,0.766,0.758,0.762,,,CN_000031_003_texte.txt, CN_000051_023_texte.txt, CN_000068_010_texte.txt, CN_000070_012_texte.txt,CS_000013_013_texte.txt, CS_000017_017_texte.txt, CS_000018_018_texte.txt, CS_000027_027_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inégalité des réflexes,0.75,0.773,0.762,,,CN_000068_010_texte.txt,CO_000090_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prolongements protoplasmiques,0.771,0.752,0.762,,,CN_000047_019_texte.txt, CN_000059_001_texte.txt, CN_000062_004_texte.txt,CO_000088_006_texte.txt, CO_000089_007_texte.txt, CS_000013_013_texte.txt, CS_000016_016_texte.txt, CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abolition des réflexes,0.764,0.76,0.762,,,CN_000035_007_texte.txt, CN_000044_016_texte.txt, CN_000045_017_texte.txt, CN_000047_019_texte.txt, CN_000048_020_texte.txt, CN_000050_022_texte.txt, CN_000054_026_texte.txt, CN_000058_030_texte.txt, CN_000059_001_texte.txt, CN_000061_003_texte.txt, CN_000064_006_texte.txt, CN_000065_007_texte.txt, CN_000070_012_texte.txt, CN_000075_017_texte.txt, CN_000076_018_texte.txt, CN_000080_022_texte.txt, CN_000082_002_texte.txt,CO_000090_008_texte.txt, CO_000091_009_texte.txt, CO_000093_011_texte.txt, CS_000009_009_texte.txt, CS_000011_011_texte.txt, CS_000015_015_texte.txt, CS_000017_017_texte.txt, CS_000019_019_texte.txt, CS_000022_022_texte.txt, CS_000025_025_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' hémiparaplégie,0.764,0.76,0.762,,,CN_000050_022_texte.txt,CS_000007_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esprit d' observation,0.765,0.76,0.762,,,CN_000079_021_texte.txt,CS_000011_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idiots par méningite,0.772,0.753,0.762,,,CN_000047_019_texte.txt,CY_000104_010_texte.txt, CY_000117_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état de dégénérescence,0.741,0.782,0.762,,,CN_000059_001_texte.txt, CN_000062_004_texte.txt, CN_000081_001_texte.txt,CS_000014_014_texte.txt, CS_000023_023_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cause d' hérédité,0.748,0.775,0.762,,,CN_000038_010_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infiltration séreuse,0.751,0.774,0.762,,,CN_000030_002_texte.txt,CS_000012_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
association d' hémiplégie,0.759,0.764,0.762,,,CN_000071_013_texte.txt,CO_000093_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
création d' asiles,0.777,0.747,0.762,,,CN_000056_028_texte.txt, CN_000068_010_texte.txt, CN_000076_018_texte.txt, CN_000079_021_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vue d' ensemble,0.75,0.774,0.762,,,CL_000001_004_texte.txt, CN_000041_013_texte.txt, CN_000071_013_texte.txt, CN_000073_015_texte.txt, CN_000074_016_texte.txt,CA_000011_001_texte.txt, CL_000003_001_texte.txt, CO_000088_006_texte.txt, CO_000089_007_texte.txt, CS_000011_011_texte.txt, CS_000016_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hérédité consanguine,0.747,0.775,0.761,,,CN_000070_012_texte.txt,CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enfant vomis-,0.747,0.775,0.761,,,CN_000038_010_texte.txt,CY_000100_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stigmates neurasthéniques,0.765,0.756,0.761,,,CN_000056_028_texte.txt, CN_000072_014_texte.txt,CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
défaut d' autopsie,0.759,0.763,0.761,,,CN_000055_027_texte.txt,CS_000003_003_texte.txt, CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étude d' ensemble,0.755,0.768,0.761,,,CN_000041_013_texte.txt, CN_000068_010_texte.txt, CN_000070_012_texte.txt,CO_000091_009_texte.txt, CS_000009_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degré d' incoordination,0.765,0.757,0.761,,,CN_000049_021_texte.txt, CN_000060_002_texte.txt,CS_000002_002_texte.txt, CS_000012_012_texte.txt, CS_000017_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' asthénie bulbo -,0.768,0.754,0.761,,,CN_000074_016_texte.txt,CS_000018_018_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes d' irritation,0.76,0.763,0.761,,,CN_000038_010_texte.txt,CS_000011_011_texte.txt, CS_000017_017_texte.txt, CS_000028_028_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hallucinations télépathiques,0.728,0.794,0.761,,,CN_000055_027_texte.txt,CH_00000082_texte.txt, CH_00000091_texte.txt, CH_00000094_texte.txt, CH_00000097_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exagération du tremblement,0.774,0.748,0.761,,,CN_000075_017_texte.txt,CS_000003_003_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plexus choroïdes,0.761,0.762,0.761,,,CN_000031_003_texte.txt,CO_000088_006_texte.txt, CO_000089_007_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t. r.,0.757,0.763,0.76,,,CN_000040_012_texte.txt,CY_000105_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hémiatrophie linguale,0.766,0.754,0.76,,,CN_000035_007_texte.txt, CN_000068_010_texte.txt,CS_000018_018_texte.txt, CS_000026_026_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas de méningo - encéphalite,0.756,0.765,0.76,,,CN_000029_001_texte.txt,CY_000119_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cas d' alhétose,0.769,0.752,0.76,,,CN_000058_030_texte.txt,CS_000005_005_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diversité d' opinions,0.756,0.765,0.76,,,CN_000034_006_texte.txt, CN_000048_020_texte.txt,CO_000093_011_texte.txt, CY_000098_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
défaut d' observation,0.762,0.757,0.76,,,CN_000049_021_texte.txt, CN_000062_004_texte.txt,CS_000019_019_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations interstitielles,0.774,0.746,0.76,,,CN_000067_009_texte.txt,CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sensations d' étouffement,0.764,0.757,0.76,,,CN_000076_018_texte.txt,CS_000002_002_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
changement d' état,0.755,0.766,0.76,,,CN_000081_001_texte.txt,CH_00000090_texte.txt, CS_000015_015_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
émanation directe,0.746,0.773,0.76,,,CN_000073_015_texte.txt,CA_000003_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avancement des médecins,0.773,0.747,0.76,,,CN_000045_017_texte.txt,CY_000103_009_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
état d' éréthisme,0.742,0.778,0.76,,,CN_000051_023_texte.txt, CN_000052_024_texte.txt, CN_000056_028_texte.txt, CN_000073_015_texte.txt,CH_00000096_texte.txt, CY_000111_017_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point d' émergence,0.737,0.783,0.76,,,CN_000039_011_texte.txt, CN_000047_019_texte.txt,CO_000089_007_texte.txt, CS_000003_003_texte.txt, CS_000023_023_texte.txt, CY_000105_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
service de m.,0.745,0.776,0.76,,,CN_000037_009_texte.txt, CN_000038_010_texte.txt, CN_000040_012_texte.txt, CN_000043_015_texte.txt, CN_000048_020_texte.txt, CN_000075_017_texte.txt, CN_000082_002_texte.txt,CH_00000090_texte.txt, CS_000002_002_texte.txt, CS_000004_004_texte.txt, CS_000005_005_texte.txt, CS_000007_007_texte.txt, CY_000105_011_texte.txt, CY_000109_015_texte.txt, CY_000113_019_texte.txt, CY_000118_024_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amyotrophies d' origine,0.741,0.778,0.76,oui,,CN_000049_021_texte.txt, CN_000053_025_texte.txt,CS_000006_006_texte.txt, CS_000012_012_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étiologie des maladies,0.762,0.757,0.76,,,CN_000044_016_texte.txt, CN_000064_006_texte.txt, CN_000074_016_texte.txt, CN_000075_017_texte.txt,CS_000023_023_texte.txt, CY_000120_001_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hystérie pure,0.755,0.766,0.76,,,CN_000050_022_texte.txt, CN_000066_008_texte.txt,CO_000090_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebauche d' attaque,0.757,0.763,0.76,,,CN_000060_002_texte.txt,CS_000002_002_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antécédents nerveux,0.768,0.753,0.76,,,CN_000031_003_texte.txt, CN_000037_009_texte.txt, CN_000040_012_texte.txt, CN_000042_014_texte.txt,CY_000105_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes d' athétose,0.75,0.77,0.76,,,CN_000043_015_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phénomènes convulsifs,0.77,0.749,0.76,,,CN_000077_019_texte.txt,CS_000020_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas d' hallucinations,0.739,0.781,0.76,,,CN_000065_007_texte.txt,CY_000102_008_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mouvements d' adduction,0.741,0.776,0.759,,,CN_000038_010_texte.txt, CN_000060_002_texte.txt,CO_000093_011_texte.txt, CS_000002_002_texte.txt, CS_000006_006_texte.txt, CS_000008_008_texte.txt, CS_000010_010_texte.txt, CS_000012_012_texte.txt, CS_000015_015_texte.txt, CS_000018_018_texte.txt, CS_000022_022_texte.txt, CS_000025_025_texte.txt, CY_000114_020_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
excitabilité exagérée,0.751,0.766,0.759,,,CN_000041_013_texte.txt,CS_000008_008_texte.txt, CY_000110_016_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altérations traumatiques,0.763,0.756,0.759,,,CN_000039_011_texte.txt,CS_000025_025_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
étude d' exégèse,0.745,0.773,0.759,,,CN_000054_026_texte.txt,CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ataxie locomotrice,0.769,0.748,0.759,,,CN_000029_001_texte.txt, CN_000030_002_texte.txt, CN_000033_005_texte.txt, CN_000034_006_texte.txt, CN_000060_002_texte.txt, CO_000092_010_texte.txt,CS_000005_005_texte.txt, CS_000011_011_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mort de m.,0.754,0.763,0.759,,,CN_000054_026_texte.txt, CN_000067_009_texte.txt,CH_00000096_texte.txt, CY_000104_010_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hystérie délirante,0.739,0.779,0.759,,,CN_000067_009_texte.txt,CS_000006_006_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pas d' oncles,0.752,0.765,0.759,,,CN_000076_018_texte.txt,CY_000107_013_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
période d' hallucinations,0.757,0.76,0.759,,,CN_000049_021_texte.txt,CH_00000096_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
troubles paralytiques,0.742,0.776,0.759,,,CN_000032_004_texte.txt, CN_000038_010_texte.txt, CN_000046_018_texte.txt, CN_000054_026_texte.txt,CO_000093_011_texte.txt, CS_000004_004_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archives d' anthropologie,0.761,0.758,0.759,,,CN_000066_008_texte.txt, CN_000067_009_texte.txt,CS_000021_021_texte.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
